time,high,low,open,volumefrom,volumeto,close
2025-03-24,0.6394,0.518,0.5519,65520390.15,37530079.48,0.5728
2025-03-25,0.5944,0.5122,0.5728,68652676.24,39935261.77,0.5817
2025-03-26,0.6399,0.5061,0.5817,80322248.91,41960342.83,0.5224
2025-03-27,0.5965,0.5202,0.5224,69084978.51,36849464.67,0.5334
2025-03-28,0.5445,0.4462,0.5334,67823001.03,31836530.4,0.4694
2025-03-29,0.472,0.4017,0.4694,53476101.48,22422529.35,0.4193
2025-03-30,0.4879,0.4078,0.4193,50385588.05,22585229.0,0.4482
2025-03-31,0.4623,0.3832,0.4482,73009112.88,33120922.09,0.4537
2025-04-01,0.549,0.4475,0.4537,69700775.74,36369864.78,0.5218
2025-04-02,0.5625,0.4123,0.5218,70659933.1,29904367.61,0.4232
2025-04-03,0.4479,0.3559,0.4232,99282346.51,41447869.81,0.4175
2025-04-04,0.5235,0.4038,0.4175,127114369.23,65012201.78,0.5114
2025-04-05,0.5382,0.4525,0.5114,70763125.04,35133939.7,0.4965
2025-04-06,0.499,0.4166,0.4965,76012953.23,33778461.33,0.4444
2025-04-07,0.5667,0.4061,0.4439,83257355.64,40055261.65,0.5523
2025-04-08,0.6153,0.5068,0.5527,89570663.71,45716092.87,0.5104
2025-04-09,0.7832,0.4863,0.5104,142399886.62,108533103.86,0.7622
2025-04-10,0.7817,0.6783,0.7622,66997671.51,50507663.26,0.7539
2025-04-11,0.9847,0.7332,0.7539,93052715.86,81771041.81,0.8788
2025-04-12,0.9626,0.8271,0.8788,71921439.22,63960531.35,0.8893
2025-04-13,0.9075,0.7813,0.8893,63796855.32,51181617.3,0.8023
2025-04-14,0.9628,0.7963,0.8023,78916069.03,72311453.79,0.9163
2025-04-15,0.9489,0.8063,0.9163,75156919.87,60908592.09,0.8104
2025-04-16,0.9644,0.7988,0.8104,71398369.8,64072897.06,0.8974
2025-04-17,0.9309,0.8127,0.8974,48788186.14,40745423.41,0.8351
2025-04-18,0.8438,0.7179,0.8351,65771718.23,48178236.11,0.7325
2025-04-19,0.8261,0.7262,0.7325,41531319.6,33817111.64,0.8143
2025-04-20,0.8996,0.8045,0.8143,41524683.14,37120232.25,0.8939
2025-04-21,0.9376,0.8271,0.8939,51985460.45,48404019.88,0.9311
2025-04-22,1.203,0.9183,0.9311,82324205.79,92697055.72,1.126
2025-04-23,1.197,1.059,1.126,60328939.43,65818872.92,1.091
2025-04-24,1.163,1.033,1.091,40238137.98,45791001.02,1.138
2025-04-25,1.153,1.014,1.138,52968280.61,54505843.86,1.029
2025-04-26,1.068,0.9904,1.029,41093929.96,42285653.93,1.029
2025-04-27,1.123,0.9453,1.029,34060199.4,36546593.96,1.073
2025-04-28,1.231,1.036,1.073,46039458.93,50321128.61,1.093
2025-04-29,1.162,1.073,1.093,34552590.31,38318822.65,1.109
2025-04-30,1.259,1.065,1.109,38375866.35,47701201.87,1.243
2025-05-01,1.283,1.177,1.243,32961110.02,39454448.69,1.197
2025-05-02,1.223,1.145,1.197,23918779.94,27530515.71,1.151
2025-05-03,1.154,1.071,1.151,19915731.3,21670048.32,1.088
2025-05-04,1.128,1.064,1.088,20132124.7,21866869.62,1.086
2025-05-05,1.147,1.053,1.086,23641869.98,26860355.95,1.136
2025-05-06,1.151,1.007,1.136,26777028.65,28919190.94,1.08
2025-05-07,1.121,0.9272,1.08,40803880.79,41701566.17,1.022
2025-05-08,1.25,0.9949,1.022,45692575.0,56704485.58,1.241
2025-05-09,1.454,1.171,1.241,59492078.6,81563639.76,1.371
2025-05-10,1.434,1.295,1.371,30566616.88,43461382.63,1.422
2025-05-11,1.436,1.271,1.422,36144932.91,48578789.83,1.344
2025-05-12,1.475,1.284,1.344,59179863.64,81727391.69,1.381
2025-05-13,1.473,1.25,1.381,46384263.96,66654187.31,1.437
2025-05-14,1.475,1.31,1.437,33887000.01,44832501.01,1.323
2025-05-15,1.363,1.222,1.323,32521886.19,42376017.71,1.303
2025-05-16,1.338,1.182,1.303,27734808.58,33032157.02,1.191
2025-05-17,1.221,1.154,1.191,21627354.32,26039334.6,1.204
2025-05-18,1.36,1.191,1.204,25931435.51,35240820.86,1.359
2025-05-19,1.378,1.163,1.359,37432788.64,45293674.25,1.21
2025-05-20,1.324,1.187,1.21,32394975.97,42081073.79,1.299
2025-05-21,1.444,1.276,1.299,44373922.1,62256612.71,1.403
2025-05-22,1.584,1.396,1.403,39608216.59,61545013.46,1.554
2025-05-23,1.647,1.445,1.554,52653645.46,77445767.12,1.471
2025-05-24,1.509,1.425,1.471,28637811.44,40915213.5,1.429
2025-05-25,1.461,1.343,1.429,31763972.54,46248344.02,1.456
2025-05-26,1.473,1.373,1.456,25767023.35,35764628.41,1.388
2025-05-27,1.465,1.336,1.388,37174115.64,50631145.5,1.362
2025-05-28,1.386,1.223,1.362,36277064.96,47087630.32,1.298
2025-05-29,1.337,1.202,1.298,39814103.02,48135250.55,1.209
2025-05-30,1.215,1.03,1.209,68108111.06,71854057.17,1.055
2025-05-31,1.116,1.001,1.055,34819064.47,37395675.24,1.074
2025-06-01,1.172,1.037,1.074,27030931.74,31031509.64,1.148
2025-06-02,1.155,1.065,1.148,32906067.63,37611635.3,1.143
2025-06-03,1.208,0.9452,1.143,74641928.5,76806544.43,1.029
2025-06-04,1.085,0.9211,1.029,64186042.72,60565949.91,0.9436
2025-06-05,1.076,0.8613,0.9436,114750659.34,118081641.48,1.029
2025-06-06,1.09,0.9485,1.029,80934340.12,78349871.93,0.9681
2025-06-07,1.066,0.9537,0.9681,40981512.39,41227401.46,1.006
2025-06-08,1.074,0.9831,1.006,39560568.87,41024309.92,1.037
2025-06-09,1.241,1.02,1.037,69195186.76,84902494.15,1.227
2025-06-10,1.395,1.202,1.227,76071076.17,105565536.39,1.388
2025-06-11,1.535,1.316,1.388,73953942.81,100355500.39,1.357
2025-06-12,1.381,1.217,1.357,56204605.93,68682028.45,1.222
2025-06-13,1.298,1.064,1.222,87970616.35,113130212.63,1.286
2025-06-14,1.289,1.116,1.286,29610689.45,35177499.07,1.188
2025-06-15,1.258,1.152,1.188,28530978.8,34522484.35,1.21
2025-06-16,1.323,1.176,1.21,55274327.94,65278981.3,1.181
2025-06-17,1.206,1.083,1.181,63394915.83,69607617.58,1.098
